,Unnamed: 0,period_id,minute,second,outcome,start_x,start_y,end_x,end_y,type_name,FullName,Position,Team,start_frameID
320,320,1,17,44,False,75.7,16.8,78.75,30.94,Pass,Team_A_Player_8,Striker,Team_A,1131384
321,321,1,17,46,True,25.31,37.54,31.71,43.86,Pass,Team_B_Player_6,Midfielder,Team_B,1131428
322,322,1,17,47,False,35.7,45.56,35.7,45.56,Take on,Team_B_Player_8,Midfielder,Team_B,1131462
323,323,1,17,47,False,69.3,22.44,69.3,22.44,Tackle,Team_A_Player_7,Midfielder,Team_A,1131464
324,324,1,17,50,True,75.08,27.95,105.0,31.42,Miss,Team_A_Player_8,Striker,Team_A,1131533
325,325,1,17,52,True,-1.26,36.04,-1.26,36.04,Out,Team_B_Player_8,Midfielder,Team_B,1131594
326,326,1,17,52,False,106.26,31.96,106.26,31.96,Out,Team_A_Player_8,Striker,Team_A,1131570
327,327,1,18,2,True,5.67,39.58,30.03,42.64,Pass,Team_B_Player_0,Goalkeeper,Team_B,1131820
328,328,1,18,11,True,42.21,54.47,65.52,65.69,Pass,Team_B_Player_6,Midfielder,Team_B,1132056
329,329,1,18,13,False,68.35,65.89,89.25,56.64,Pass,Team_B_Player_3,Defender,Team_B,1132095
330,330,1,18,15,True,15.54,9.72,15.54,9.72,Ball recovery,Team_A_Player_3,Defender,Team_A,1132168
331,331,1,18,17,True,15.54,9.72,19.01,3.4,Pass,Team_A_Player_3,Defender,Team_A,1132195
332,332,1,18,20,False,19.22,1.29,21.52,2.58,Pass,Team_A_Player_8,Striker,Team_A,1132276
333,333,1,18,22,False,87.78,68.95,87.78,68.95,Out,Team_B_Player_3,Defender,Team_B,1132344
334,334,1,18,22,True,17.22,-0.95,17.22,-0.95,Out,Team_A_Player_8,Striker,Team_A,1132320
335,335,1,18,49,False,26.56,0.0,38.74,3.4,Pass,Team_A_Player_2,Defender,Team_A,1133006
336,336,1,18,50,True,63.21,63.99,76.86,51.14,Pass,Team_B_Player_6,Midfielder,Team_B,1133039
337,337,1,18,54,True,77.28,50.12,77.28,50.12,Ball recovery,Team_B_Player_10,Striker,Team_B,1133144
338,338,1,18,55,True,80.64,45.76,80.64,45.76,Dispossessed,Team_B_Player_10,Striker,Team_B,1133169
339,339,1,18,55,True,24.36,22.24,24.36,22.24,Tackle,Team_A_Player_7,Midfielder,Team_A,1133145
340,340,1,19,14,True,25.31,23.73,7.45,34.2,Pass,Team_A_Player_3,Defender,Team_A,1133621
341,341,1,19,17,True,8.72,35.63,18.79,18.84,Pass,Team_A_Player_0,Goalkeeper,Team_A,1133713
342,342,1,19,20,True,19.74,16.46,32.86,19.38,Pass,Team_A_Player_3,Defender,Team_A,1133771
343,343,1,19,22,True,32.02,23.87,34.34,38.69,Pass,Team_A_Player_7,Midfielder,Team_A,1133820
344,344,1,19,24,True,34.34,39.1,40.64,64.87,Pass,Team_A_Player_6,Midfielder,Team_A,1133891
345,345,1,19,30,True,47.98,64.87,49.24,56.24,Pass,Team_A_Player_1,Defender,Team_A,1134020
346,346,1,19,33,True,56.49,58.41,66.78,59.09,Pass,Team_A_Player_6,Midfielder,Team_A,1134103
347,347,1,19,34,True,66.78,59.09,62.58,60.93,Pass,Team_A_Player_9,Striker,Team_A,1134123
348,348,1,19,37,True,63.42,59.84,38.96,54.13,Pass,Team_A_Player_6,Midfielder,Team_A,1134210
349,349,1,19,45,True,40.21,62.63,74.34,57.66,Pass,Team_A_Player_4,Defender,Team_A,1134402
350,350,1,19,47,True,74.24,57.46,81.9,49.03,Pass,Team_A_Player_5,Midfielder,Team_A,1134456
351,351,1,19,52,True,80.64,50.8,80.64,50.8,Dispossessed,Team_A_Player_10,Striker,Team_A,1134570
352,352,1,19,53,False,24.36,17.2,24.36,17.2,Tackle,Team_B_Player_2,Defender,Team_B,1134595
353,353,1,19,56,True,78.96,51.48,84.74,65.08,Pass,Team_A_Player_10,Striker,Team_A,1134670
354,354,1,19,58,True,91.35,62.42,91.35,62.42,Take on,Team_A_Player_1,Defender,Team_A,1134728
355,355,1,20,0,True,89.67,56.98,78.22,56.85,Pass,Team_A_Player_1,Defender,Team_A,1134777
356,356,1,20,2,True,78.65,58.89,66.99,51.41,Pass,Team_A_Player_10,Striker,Team_A,1134826
357,357,1,20,7,True,60.69,58.68,55.44,24.28,Pass,Team_A_Player_7,Midfielder,Team_A,1134947
358,358,1,20,11,False,61.42,18.84,76.55,68.0,Pass,Team_A_Player_3,Defender,Team_A,1135045
359,359,1,20,15,True,26.04,-0.95,26.04,-0.95,Out,Team_B_Player_2,Defender,Team_B,1135148
360,360,1,20,15,False,78.96,68.95,78.96,68.95,Out,Team_A_Player_3,Defender,Team_A,1135145
361,361,1,20,22,True,25.94,0.0,23.94,18.09,Pass,Team_B_Player_4,Defender,Team_B,1135320
362,362,1,20,23,True,23.94,18.09,25.41,43.18,Pass,Team_B_Player_2,Defender,Team_B,1135369
363,363,1,20,25,True,24.26,43.86,28.24,62.08,Pass,Team_B_Player_1,Defender,Team_B,1135395
364,364,1,20,27,True,33.81,59.36,49.14,66.1,Pass,Team_B_Player_3,Defender,Team_B,1135461
365,365,1,20,30,True,45.04,63.24,30.14,48.35,Pass,Team_B_Player_9,Striker,Team_B,1135520
366,366,1,20,34,True,30.56,47.74,49.66,44.4,Pass,Team_B_Player_1,Defender,Team_B,1135644
367,367,1,20,36,True,55.02,44.27,70.04,50.18,Pass,Team_B_Player_7,Midfielder,Team_B,1135670
368,368,1,20,38,True,26.78,20.2,26.78,20.2,Ball recovery,Team_A_Player_2,Defender,Team_A,1135720
369,369,1,20,40,True,24.67,20.4,28.98,31.89,Pass,Team_A_Player_2,Defender,Team_A,1135783
370,370,1,20,42,True,28.77,31.89,37.38,38.96,Pass,Team_A_Player_7,Midfielder,Team_A,1135831
371,371,1,20,44,True,37.38,39.1,40.84,31.76,Pass,Team_A_Player_9,Striker,Team_A,1135870
372,372,1,20,45,True,43.89,31.89,56.6,36.11,Pass,Team_A_Player_5,Midfielder,Team_A,1135900
373,373,1,20,49,True,30.76,38.35,30.76,38.35,Ball recovery,Team_B_Player_1,Defender,Team_B,1136019
374,374,1,20,49,True,30.76,38.35,30.76,21.76,Pass,Team_B_Player_1,Defender,Team_B,1136019
375,375,1,20,52,True,32.76,22.51,42.42,25.43,Pass,Team_B_Player_4,Defender,Team_B,1136082
